,Date,Price,Open,High,Low,Volume,% Change
0,"Dec 11, 2020",216.30,214.45,217.95,213.35,60.32M,1.69%
1,"Dec 10, 2020",212.70,206.65,213.65,203.15,65.23M,3.55%
2,"Dec 09, 2020",205.40,205.00,207.80,204.65,39.68M,1.46%
3,"Dec 08, 2020",202.45,203.90,204.70,199.55,30.85M,-0.34%
4,"Dec 07, 2020",203.15,198.20,203.75,197.60,35.69M,2.50%
5,"Dec 04, 2020",198.20,196.85,199.35,196.50,22.15M,1.02%
6,"Dec 03, 2020",196.20,197.20,197.20,194.55,28.01M,0.13%
7,"Dec 02, 2020",195.95,195.00,198.75,193.55,28.43M,0.80%
8,"Dec 01, 2020",194.40,195.00,196.35,192.40,15.89M,0.39%
9,"Nov 27, 2020",193.65,194.45,195.75,193.20,31.39M,-0.59%
10,"Nov 26, 2020",194.80,195.10,195.85,192.55,24.22M,0.49%
11,"Nov 25, 2020",193.85,196.00,197.95,192.50,41.66M,-0.87%
12,"Nov 24, 2020",195.55,190.60,196.45,190.60,45.41M,2.46%
13,"Nov 23, 2020",190.85,192.00,192.50,188.65,23.18M,-0.44%
14,"Nov 20, 2020",191.70,188.80,192.00,186.05,45.31M,2.02%
15,"Nov 19, 2020",187.90,182.80,191.80,182.70,48.98M,2.09%
16,"Nov 18, 2020",184.05,186.80,188.45,182.75,26.60M,-1.76%
17,"Nov 17, 2020",187.35,189.00,189.40,186.40,20.95M,0.13%
18,"Nov 13, 2020",187.10,187.20,188.80,185.55,28.20M,-0.48%
19,"Nov 12, 2020",188.00,185.20,188.75,183.85,46.37M,1.46%
20,"Nov 11, 2020",185.30,179.60,185.90,178.60,63.32M,3.90%
21,"Nov 10, 2020",178.35,175.00,179.55,171.85,57.46M,3.21%
22,"Nov 09, 2020",172.80,173.95,177.30,171.85,35.29M,-0.66%
23,"Nov 06, 2020
E",173.95,176.50,177.20,173.40,34.25M,-0.46%
24,"Nov 05, 2020",174.75,171.25,175.00,170.20,27.00M,2.92%
25,"Nov 04, 2020",169.80,170.05,171.80,168.20,18.81M,-0.18%
26,"Nov 03, 2020",170.10,167.20,170.75,167.10,22.60M,2.01%
27,"Nov 02, 2020",166.75,166.80,167.20,164.45,14.37M,0.91%
28,"Oct 30, 2020",165.25,164.00,166.80,163.35,16.35M,0.85%
29,"Oct 29, 2020",163.85,165.00,165.95,163.45,21.01M,-1.00%
30,"Oct 28, 2020",165.50,168.50,168.50,165.00,16.82M,-1.02%
31,"Oct 27, 2020",167.20,168.50,169.30,166.75,45.89M,-0.80%
32,"Oct 26, 2020",168.55,171.50,171.60,168.25,16.08M,-1.29%
33,"Oct 23, 2020",170.75,168.95,171.00,167.75,20.15M,1.16%
34,"Oct 22, 2020",168.80,167.60,169.10,167.00,22.04M,0.69%
35,"Oct 21, 2020",167.65,168.15,168.90,166.60,16.48M,0.12%
36,"Oct 20, 2020",167.45,168.00,168.30,166.70,16.15M,-0.48%
37,"Oct 19, 2020",168.25,166.80,168.90,166.15,19.02M,1.54%
38,"Oct 16, 2020",165.70,165.50,166.80,163.80,20.23M,0.39%
39,"Oct 15, 2020",165.05,167.70,167.80,164.55,27.12M,-1.64%
40,"Oct 14, 2020",167.80,170.55,171.00,167.05,38.22M,-1.38%
41,"Oct 13, 2020",170.15,172.85,174.85,169.50,35.69M,-1.19%
42,"Oct 12, 2020",172.20,170.50,175.20,170.00,66.25M,2.59%
43,"Oct 09, 2020",167.85,167.50,168.90,166.35,22.37M,0.42%
44,"Oct 08, 2020",167.15,170.10,170.40,166.90,25.50M,-1.39%
45,"Oct 07, 2020",169.50,170.00,170.90,169.00,16.29M,-0.24%
46,"Oct 06, 2020",169.90,169.50,171.60,168.10,21.89M,0.38%
47,"Oct 05, 2020",169.25,171.10,172.80,168.75,24.30M,-0.94%
48,"Oct 01, 2020",170.85,174.50,174.60,170.10,19.76M,-0.50%
49,"Sep 30, 2020",171.70,170.00,172.10,168.70,18.48M,1.36%
50,"Sep 29, 2020",169.40,174.75,174.75,169.00,25.62M,-2.25%
51,"Sep 28, 2020",173.30,171.00,174.80,170.50,23.19M,1.49%
52,"Sep 25, 2020",170.75,168.90,171.20,167.00,26.63M,2.52%
53,"Sep 24, 2020",166.55,171.70,171.75,166.15,31.49M,-3.45%
54,"Sep 23, 2020",172.50,174.95,177.55,171.70,61.79M,-0.98%
55,"Sep 22, 2020",174.20,175.75,176.75,173.75,18.53M,-0.88%
56,"Sep 21, 2020",175.75,180.00,180.60,175.05,23.89M,-1.87%
57,"Sep 18, 2020",179.10,179.55,179.85,177.00,29.78M,0.28%
58,"Sep 17, 2020",178.60,180.80,181.50,177.80,33.94M,-1.13%
59,"Sep 16, 2020",180.65,181.85,183.50,180.05,50.65M,-0.63%
60,"Sep 15, 2020",181.80,184.00,184.20,180.80,30.77M,-0.85%
61,"Sep 14, 2020",183.35,185.80,185.85,183.00,30.99M,-0.33%
62,"Sep 11, 2020",183.95,184.90,186.50,182.75,19.26M,-0.51%
63,"Sep 10, 2020",184.90,184.10,185.70,183.20,17.79M,0.60%
64,"Sep 09, 2020",183.80,185.50,186.25,182.30,27.83M,-2.31%
65,"Sep 08, 2020",188.15,189.60,190.55,184.60,25.59M,-0.50%
66,"Sep 07, 2020",189.10,187.25,190.50,180.80,32.66M,1.29%
